,name,surface area,percentage of pixels
0,BBSL851134_Anthidium_schwarzi_male_lateralhabitus_EDITED_scale.jpg,2161020,24.97919383027714%
1,BBSLID6556_Afranthidium_karooense_male_lateralhabitus.jpg,3968480,26.448172184500073%
2,BBSL1082629_Apis_dorsata_sspBreviligua_lateralhabitus_EDITED.jpg,1859232,22.56051080621617%
3,BBSL1056996_Osmia_rufina_male_lateralhabitus_EDITED.jpg,2342855,27.08102153669746%
4,BBSL770765_Anthidium_cochimi_female_lateral01_scale.jpg,2257565,26.09515586132919%
5,BBSL993165_Anthidium_illustre_female_lateral01_scale.jpg,2125453,24.56101771182627%
6,BBSL849732_callomegachile_sculpturalis_male_lateral_habitus_edit_20(2).jpg,1720134,19.882999972258443%
7,BBSL1056993_Hofferia_schmiedeknechti_female_lateralhabitus.jpg,1122916,16.909546883606932%
8,BBSL723871_Trichothurgus_Dubious_female_lateralhabitus.jpg,3773163,26.756070486613254%
9,BBSL758483_Anthidium_dammersi_male_lateral01.jpg,1961107,22.661890788357347%
10,BBSL1119313_Ceratina_PITHITIS_binghami_male_lateralhabitus_E.jpg,1708004,19.73711792068332%
11,BBSL1144069_Megachile_Anodonteutrichara_abongana_female_lateralhabitus_Complete.jpg,1759248,20.329276294274653%
12,BBSL1082628_Osmia_cerinthidis_female_lateralhabitus_EDITED.jpg,2041142,23.58674824348151%
13,BBSL849780_Anthidium_rodecki_male_lateralhabitus_EDITED_20(2)_scale.jpg,1717170,19.848739146114795%
14,bbsl1119302-megachile_neochelynia__clara_female_lateral_habitus_edit_mkII.jpg,1724871,19.932027281532687%
15,BBSL1083646_Apis_andreniformis_male_lateralhabitus_EDITED.jpg,1566021,19.00259553044561%
16,BBSL1056994_Apis_koschevenikovi_male_lateral_E_.jpg,1849861,21.968439312495317%
17,BBSL716259_Anthidium_florintinum_male_lateralhabitus_E_scale.jpg,1527242,17.648293240191613%
18,BBSL722882_Othinosmia_globicola_male_lateralhabitus.jpg,805257,20.551885754712792%
19,BBSL717424_Anthodioctes_megachiloides_male_lateralhabitus.jpg,2769805,20.637597644316884%
20,BBSL1082622_Osmia_rufina_female_lateralhabitus_EDITED.jpg,2007087,23.199884872527534%
21,BBSL1144052_Ceratina_Rhysoceratina_sp_female_lateralhabitus_Complete.jpg,1336344,15.44677781784892%
22,BBSL1056971_Trachusoides_Simplex_female_lateralhabitus.jpg,2474150,24.697353480653334%
23,BBSL1028014_Haetosmia_circumventa_male_lateralhabitus.jpg,2707154,19.487845085123997%
24,BBSL855800_Stenoheriades_eingeddicus_male_lateralhabitus.jpg,1815754,20.22912363496191%
25,BBSLID111572_Apis_cerana_male_lateral_E_.jpg,1870312,21.61269440380061%
26,BBSL1082605_Osmia_pedicornis_male_lateralhabitus_EDITED.jpg,2772417,32.037115401548874%
27,BBSLID89259_Anthidium_illustre_male_lateral01_20(3)_scale.jpg,2525220,29.188975504202848%
28,BBSLID100081_Anthidium_tessalatum_male_lateral_habitus.jpg,3437776,22.906265558352285%
29,BBSLID827091_Pachyanthidium_semiluteum_female_lateralhabitus_EDITED.jpg,1580994,18.27468305268122%
30,BBSLID111577_Apis_mellifera_female_lateral_E__20(2).jpg,1737063,20.078681998501956%
31,BBSL1119294_megachile_carinula_torrida_male_lateral_edit.jpg,1479760,17.104520949501115%
32,BBSL766742_Anthidium_porterae_female_lateral01_20(2).jpg,2152106,24.8690107867488%
